SGD-WPV_train_accuracy,SGD-WPV_train_losss,SGD-WPV_test_loss,SGD-WPV_test_accuracy
tensor(0.8938),122.37667510658503,37.68981693685055,tensor(0.8421)
tensor(0.8958),120.64497428387403,30.108765110373497,tensor(0.8763)
tensor(0.9272),83.29568769037724,25.269533917307854,tensor(0.8939)
tensor(0.9383),70.62962669506669,30.4680435359478,tensor(0.8735)
tensor(0.9350),77.31370961666107,26.037491619586945,tensor(0.8915)
tensor(0.9219),91.58504150807858,34.69798094034195,tensor(0.8533)
tensor(0.9075),108.89239199459553,33.531046226620674,tensor(0.8579)
tensor(0.9004),117.64354321360588,35.91670662164688,tensor(0.8485)
tensor(0.8930),124.4587936103344,35.757378190755844,tensor(0.8485)
tensor(0.8913),127.39602534472942,41.85865044593811,tensor(0.8276)
tensor(0.8907),128.63703772425652,38.58789974451065,tensor(0.8349)
tensor(0.8906),127.72268258035183,38.47225430607796,tensor(0.8402)
tensor(0.8887),129.17318788170815,32.739376068115234,tensor(0.8620)
tensor(0.8905),127.9366705417633,35.297300815582275,tensor(0.8483)
tensor(0.8934),125.039868876338,34.016162395477295,tensor(0.8558)
tensor(0.8928),126.45912279188633,40.87340244650841,tensor(0.8262)
tensor(0.8894),127.91236869990826,33.141505390405655,tensor(0.8596)
tensor(0.8906),125.62995098531246,35.693435937166214,tensor(0.8490)
tensor(0.8944),123.31707409769297,34.166105568408966,tensor(0.8568)
tensor(0.8899),125.68591392040253,38.13134063780308,tensor(0.8412)
