MCdropout_train_accuracy,MCdropout_train_losss,MCdropout_test_loss,MCdropout_test_accuracy
tensor(0.9061),113.9755490347743,34.52631479501724,tensor(0.8643)
tensor(0.9217),97.9741688594222,42.5494005382061,tensor(0.8696)
tensor(0.9137),106.73008152842522,61.6284915804863,tensor(0.8482)
tensor(0.8939),129.100798740983,80.87224239110947,tensor(0.8028)
tensor(0.8731),152.7249145358801,98.93146574497223,tensor(0.7294)
tensor(0.8457),185.95311565697193,105.15693497657776,tensor(0.7140)
tensor(0.8185),217.7958108484745,107.27219223976135,tensor(0.7301)
tensor(0.8107),224.43513756990433,110.70129996538162,tensor(0.7213)
tensor(0.7863),258.6486561894417,113.45585489273071,tensor(0.7130)
tensor(0.7835),258.0669051706791,113.22177600860596,tensor(0.7366)
tensor(0.7667),277.5910778939724,116.76471519470215,tensor(0.7083)
tensor(0.7567),288.04010394215584,115.87233144044876,tensor(0.7230)
tensor(0.7434),303.91607946157455,119.11383366584778,tensor(0.7125)
tensor(0.7358),314.88452023267746,118.93188083171844,tensor(0.7061)
tensor(0.7258),324.9276326596737,119.13492119312286,tensor(0.6961)
tensor(0.7177),335.3123667240143,121.69527554512024,tensor(0.6695)
tensor(0.7157),334.188714325428,120.16137194633484,tensor(0.6834)
tensor(0.7066),344.71350264549255,119.03755247592926,tensor(0.6798)
tensor(0.7029),354.09808522462845,121.21834456920624,tensor(0.6675)
tensor(0.6959),361.92637145519257,74.03619772195816,tensor(0.6981)
