true_label,p_true_label,variance,predicted_label
7.0,0.9993812441825867,0.0002513137587811798,7.0
0.0,0.9977557063102722,0.0008257644949480891,0.0
0.0,0.9989972710609436,0.000540580484084785,0.0
8.0,0.9947656393051147,0.0016522625228390098,8.0
2.0,0.6261571049690247,0.03983089327812195,2.0
0.0,0.9521109461784363,0.018112529069185257,0.0
5.0,0.9978108406066895,0.0007439085748046637,5.0
1.0,1.0,1.0500778444111347e-05,1.0
4.0,0.9888068437576294,0.0046143727377057076,4.0
3.0,0.6794502139091492,0.029470369219779968,3.0
8.0,0.7735478281974792,0.029211876913905144,8.0
5.0,0.03191268444061279,0.0040575615130364895,3.0
6.0,0.999977171421051,2.7947684429818764e-05,6.0
3.0,0.9193246364593506,0.013361237943172455,3.0
3.0,0.8113936185836792,0.024337569251656532,3.0
3.0,0.8284122347831726,0.027706598863005638,3.0
9.0,0.9991039037704468,0.0009616426541469991,9.0
1.0,0.9999209046363831,6.606762326555327e-05,1.0
2.0,0.9997358322143555,9.258197678718716e-05,2.0
3.0,0.6585372686386108,0.03623438999056816,3.0
3.0,0.9950768947601318,0.0033485442399978638,3.0
7.0,0.9964224696159363,0.0013224829453974962,7.0
9.0,0.9987590312957764,0.0004575316561385989,9.0
6.0,0.9999847412109375,1.3767914424533956e-05,6.0
9.0,0.4279971420764923,0.021312670782208443,9.0
9.0,0.9999246597290039,5.89104020036757e-05,9.0
8.0,0.9956587553024292,0.0021665471140295267,8.0
9.0,0.9864051342010498,0.005843532737344503,9.0
0.0,0.7740263938903809,0.028505820780992508,0.0
6.0,0.9845222234725952,0.006000804714858532,6.0
6.0,0.9999837279319763,1.8689910575631075e-05,6.0
5.0,0.9907116293907166,0.003345527919009328,5.0
4.0,1.0,1.0803607437992468e-05,4.0
0.0,0.9986199736595154,0.0009575089206919074,0.0
5.0,0.5402719378471375,0.04460060968995094,5.0
7.0,0.9904613494873047,0.002394139301031828,7.0
5.0,0.11991801857948303,0.04146353900432587,4.0
6.0,0.9983048439025879,0.0005657999427057803,6.0
8.0,0.9999656677246094,2.689060966076795e-05,8.0
4.0,0.9876457452774048,0.00451855082064867,4.0
8.0,0.999974250793457,2.4495846446370706e-05,8.0
4.0,0.9688547253608704,0.012155373580753803,4.0
0.0,0.9413650035858154,0.014921440742909908,0.0
9.0,0.9999723434448242,2.6177458494203165e-05,9.0
5.0,0.9928937554359436,0.003623115597292781,5.0
8.0,0.999903678894043,5.6098033383022994e-05,8.0
3.0,0.8960147500038147,0.013578423298895359,3.0
7.0,0.9995938539505005,0.00024853815557435155,7.0
7.0,0.9999980330467224,1.2265413715795148e-05,7.0
8.0,0.9996834397315979,0.00023000039800535887,8.0
1.0,0.9621065855026245,0.008443295024335384,1.0
9.0,0.9996547698974609,0.00013660179683938622,9.0
4.0,0.9920045137405396,0.0017404885729774833,4.0
3.0,0.8701351284980774,0.024814032018184662,3.0
7.0,0.9884768724441528,0.004221575800329447,7.0
3.0,0.24972067773342133,0.048882048577070236,8.0
