MCdropout_train_accuracy,MCdropout_train_losss,MCdropout_test_loss,MCdropout_test_accuracy
tensor(0.9035),115.62070980668068,36.2570059299469,tensor(0.8503)
tensor(0.9215),97.36630403995514,41.128170281648636,tensor(0.8704)
tensor(0.9117),108.09121220558882,60.06696754693985,tensor(0.8531)
tensor(0.8955),126.49036885797977,85.16735175251961,tensor(0.7766)
tensor(0.8733),152.86377049982548,99.7893893122673,tensor(0.7245)
tensor(0.8469),184.50302983820438,106.4817516207695,tensor(0.7072)
tensor(0.8072),233.54261961579323,111.93339133262634,tensor(0.6967)
tensor(0.8076),227.47482904791832,111.86962044239044,tensor(0.7172)
tensor(0.7926),245.44660505652428,114.47020030021667,tensor(0.7095)
tensor(0.7790),261.49987956881523,117.93670749664307,tensor(0.6861)
tensor(0.7593),284.96156322956085,121.46079051494598,tensor(0.6609)
tensor(0.7456),299.3950868546963,119.97064542770386,tensor(0.6679)
tensor(0.7111),356.45496386289597,120.67871725559235,tensor(0.6652)
tensor(0.7125),348.4062839746475,122.3937623500824,tensor(0.6429)
tensor(0.7004),353.41717475652695,124.56600695848465,tensor(0.6314)
tensor(0.6900),367.4666427373886,124.282734811306,tensor(0.6406)
tensor(0.7048),346.950720846653,125.70039737224579,tensor(0.6192)
tensor(0.6830),373.5372852087021,126.1296888589859,tensor(0.6088)
tensor(0.6706),388.95141434669495,123.95107185840607,tensor(0.6201)
tensor(0.6746),382.88772481679916,70.59228563308716,tensor(0.6925)
