MCdropout_train_accuracy,MCdropout_train_losss,MCdropout_test_loss,MCdropout_test_accuracy
tensor(0.8990),121.88584619760513,35.514620900154114,tensor(0.8642)
tensor(0.9197),99.26839104294777,41.90327635407448,tensor(0.8796)
tensor(0.9131),107.87177637219429,59.28074765205383,tensor(0.8684)
tensor(0.8925),130.60307820141315,84.29477307200432,tensor(0.8032)
tensor(0.8771),148.5265495032072,102.46018898487091,tensor(0.7347)
tensor(0.8474),182.1924095749855,110.44732427597046,tensor(0.6867)
tensor(0.8228),212.1358425617218,111.84311494231224,tensor(0.7057)
tensor(0.8030),235.17596915364265,112.8034702539444,tensor(0.7142)
tensor(0.7919),246.0395418703556,116.04197365045547,tensor(0.6979)
tensor(0.7636),280.33447232842445,119.52986717224121,tensor(0.6830)
tensor(0.7540),289.9813719987869,120.566212952137,tensor(0.6852)
tensor(0.7480),294.89694797992706,122.69774675369263,tensor(0.6677)
tensor(0.7297),315.4508965611458,123.7268835902214,tensor(0.6466)
tensor(0.7195),330.25988298654556,125.45937651395798,tensor(0.6328)
tensor(0.7124),337.4343146085739,127.15521013736725,tensor(0.6217)
tensor(0.6937),357.61266535520554,128.50185978412628,tensor(0.6101)
tensor(0.6872),367.2897880077362,128.73332512378693,tensor(0.5979)
tensor(0.6808),375.6624439358711,129.62066519260406,tensor(0.5765)
tensor(0.6700),386.41461873054504,129.57490253448486,tensor(0.5766)
tensor(0.6604),397.74177527427673,82.66350653767586,tensor(0.6734)
