baseline_train_accuracy,baseline_train_losss,baseline_test_loss,baseline_test_accuracy
tensor(0.8008),1006.5047169998288,151.96345703303814,tensor(0.8219)
tensor(0.8444),812.4268610924482,139.25825633108616,tensor(0.8479)
tensor(0.8472),807.3594541996717,144.84619918465614,tensor(0.8467)
tensor(0.8523),774.5594103038311,141.32589761167765,tensor(0.8442)
tensor(0.8504),789.9557726755738,157.4383114501834,tensor(0.8390)
tensor(0.8511),782.4818281829357,139.2294975668192,tensor(0.8472)
tensor(0.8535),777.4695166572928,134.77962401509285,tensor(0.8530)
tensor(0.8543),768.4527113437653,159.8750665485859,tensor(0.8202)
tensor(0.8551),756.1672209575772,140.72756697237492,tensor(0.8524)
tensor(0.8538),779.2822552099824,135.21029672026634,tensor(0.8468)
tensor(0.8730),647.4746982455254,123.02031917124987,tensor(0.8637)
tensor(0.8793),613.2153994217515,125.08749057352543,tensor(0.8676)
tensor(0.8802),623.153244106099,126.6304313391447,tensor(0.8664)
tensor(0.8819),598.4935426078737,136.32267154753208,tensor(0.8667)
tensor(0.8840),593.5799015816301,126.87518876791,tensor(0.8712)
tensor(0.8856),592.5324057601392,126.11083605885506,tensor(0.8752)
tensor(0.8865),581.4656966738403,146.16982007026672,tensor(0.8713)
tensor(0.8850),588.9250331819057,145.7437038347125,tensor(0.8702)
tensor(0.8887),575.7408704720438,135.92389600351453,tensor(0.8783)
tensor(0.8899),562.7905767187476,141.42327798902988,tensor(0.8769)
tensor(0.8969),523.2111002206802,132.37892492301762,tensor(0.8790)
tensor(0.9011),497.67771557345986,142.19170226156712,tensor(0.8791)
tensor(0.9010),505.29296435788274,134.94340573996305,tensor(0.8809)
tensor(0.9025),489.4687799923122,142.46484576165676,tensor(0.8771)
tensor(0.9027),485.43464659899473,151.13101795315742,tensor(0.8743)
tensor(0.9026),488.8803408369422,148.9744302034378,tensor(0.8797)
tensor(0.9058),478.6603460032493,146.62875870615244,tensor(0.8809)
tensor(0.9043),473.9546642880887,164.56416292861104,tensor(0.8803)
tensor(0.9065),468.4063139427453,164.57127744331956,tensor(0.8753)
tensor(0.9069),467.9268628116697,158.61271457374096,tensor(0.8814)
tensor(0.9116),435.1674465984106,170.19796530902386,tensor(0.8825)
tensor(0.9135),427.0681656654924,159.8340263441205,tensor(0.8785)
tensor(0.9141),427.3919406514615,173.8102796599269,tensor(0.8846)
tensor(0.9155),418.2984121777117,176.23065842688084,tensor(0.8829)
tensor(0.9156),412.57408764772117,183.2994424868375,tensor(0.8813)
tensor(0.9163),411.20279958099127,192.99141524359584,tensor(0.8832)
tensor(0.9183),408.06799907796085,196.14126872643828,tensor(0.8848)
tensor(0.9166),411.0287392884493,192.49594510905445,tensor(0.8811)
tensor(0.9165),407.3590051010251,182.02745542675257,tensor(0.8827)
tensor(0.9183),402.03168267477304,206.90178499743342,tensor(0.8836)
tensor(0.9187),407.02088222652674,199.03172951936722,tensor(0.8829)
tensor(0.9172),408.7266328269616,190.56467104703188,tensor(0.8844)
tensor(0.9195),400.795857898891,191.57578057795763,tensor(0.8837)
tensor(0.9199),392.8482568562031,189.06848730519414,tensor(0.8867)
tensor(0.9212),393.88103990023956,185.67871755734086,tensor(0.8901)
