baseline_train_accuracy,baseline_train_losss,baseline_test_loss,baseline_test_accuracy
tensor(0.7942),1044.9803834110498,149.57956385612488,tensor(0.8200)
tensor(0.8409),840.6554355472326,134.07434950768948,tensor(0.8527)
tensor(0.8420),837.1899764984846,134.9634484425187,tensor(0.8426)
tensor(0.8497),801.2732681855559,142.88804725557566,tensor(0.8445)
tensor(0.8483),795.3816465213895,132.47345995903015,tensor(0.8503)
tensor(0.8511),786.2685574181378,136.2712651118636,tensor(0.8504)
tensor(0.8494),791.4914523661137,150.68163583427668,tensor(0.8456)
tensor(0.8513),785.2474679797888,150.72680567204952,tensor(0.8399)
tensor(0.8513),783.9852607622743,154.42418079078197,tensor(0.8379)
tensor(0.8573),762.8563336804509,137.63024477660656,tensor(0.8457)
tensor(0.8723),656.4983861371875,121.92388807982206,tensor(0.8602)
tensor(0.8773),629.3450132906437,129.93805167078972,tensor(0.8595)
tensor(0.8796),617.1528101228178,129.73885460942984,tensor(0.8611)
tensor(0.8815),617.6380667500198,132.07611018419266,tensor(0.8663)
tensor(0.8821),611.538596060127,125.5377444177866,tensor(0.8657)
tensor(0.8831),604.422238599509,126.11278234422207,tensor(0.8675)
tensor(0.8809),610.5042927265167,123.1405922845006,tensor(0.8654)
tensor(0.8840),583.6906700134277,134.56353136524558,tensor(0.8619)
tensor(0.8832),592.9007627200335,132.27905482798815,tensor(0.8618)
tensor(0.8846),592.3278829231858,128.61889277398586,tensor(0.8681)
tensor(0.8948),533.4900237508118,121.55082095041871,tensor(0.8747)
tensor(0.8967),523.0186027698219,123.78055789321661,tensor(0.8765)
tensor(0.8975),514.5340497642756,127.30466979369521,tensor(0.8757)
tensor(0.8981),510.2802531905472,126.84767200052738,tensor(0.8736)
tensor(0.9002),500.5038538724184,134.9211281761527,tensor(0.8748)
tensor(0.8992),500.48865842446685,133.37641245871782,tensor(0.8736)
tensor(0.8994),502.89742297306657,148.97981913387775,tensor(0.8737)
tensor(0.9007),492.93013377301395,136.38487224280834,tensor(0.8703)
tensor(0.9011),495.93970940075815,128.3566050156951,tensor(0.8787)
tensor(0.9026),490.59058618731797,143.4441697821021,tensor(0.8718)
tensor(0.9065),462.8719098456204,140.30211989954114,tensor(0.8775)
tensor(0.9091),446.9816824942827,137.2274730950594,tensor(0.8759)
tensor(0.9086),453.64377411082387,142.2629120722413,tensor(0.8763)
tensor(0.9096),447.02784731797874,141.831938482821,tensor(0.8781)
tensor(0.9087),446.3440802786499,155.69067133963108,tensor(0.8782)
tensor(0.9105),435.9128080587834,147.29279923439026,tensor(0.8741)
tensor(0.9101),441.5994875393808,163.05797296762466,tensor(0.8775)
tensor(0.9114),439.68354149349034,164.02778010629117,tensor(0.8758)
tensor(0.9100),442.2948813755065,162.0955716073513,tensor(0.8766)
tensor(0.9114),435.5493706725538,166.47157967090607,tensor(0.8752)
tensor(0.9124),430.37377696996555,167.8189676143229,tensor(0.8756)
tensor(0.9123),435.31316787377,150.9627429395914,tensor(0.8750)
tensor(0.9120),433.1667992733419,167.65931040793657,tensor(0.8747)
tensor(0.9127),427.3271221425384,169.03261800855398,tensor(0.8741)
tensor(0.9125),426.01428866386414,153.89852018095553,tensor(0.8833)
