baseline_train_accuracy,baseline_train_losss,baseline_test_loss,baseline_test_accuracy
tensor(0.8122),969.8621007874608,136.64190185070038,tensor(0.8434)
tensor(0.8492),788.1806186437607,139.53652649372816,tensor(0.8433)
tensor(0.8552),773.8750079572201,146.49252293258905,tensor(0.8375)
tensor(0.8543),769.5523748025298,137.29745911061764,tensor(0.8468)
tensor(0.8578),757.3568305894732,145.05371540784836,tensor(0.8376)
tensor(0.8542),778.9292942360044,138.4301671013236,tensor(0.8475)
tensor(0.8591),763.4718989692628,140.61533671617508,tensor(0.8360)
tensor(0.8603),763.1009601615369,144.88349068909883,tensor(0.8468)
tensor(0.8592),765.4365695565939,153.22944798320532,tensor(0.8392)
tensor(0.8533),807.0026830621064,153.15271554142237,tensor(0.8382)
tensor(0.8739),656.037768278271,127.63280256837606,tensor(0.8632)
tensor(0.8813),621.9056016802788,124.61284893006086,tensor(0.8633)
tensor(0.8830),602.4455283768475,124.52751050144434,tensor(0.8736)
tensor(0.8844),599.5724611841142,125.03071556612849,tensor(0.8739)
tensor(0.8880),591.2075380831957,147.11106554418802,tensor(0.8675)
tensor(0.8864),583.8400511667132,133.63157650083303,tensor(0.8731)
tensor(0.8883),579.9023829139769,127.72339918836951,tensor(0.8721)
tensor(0.8901),577.3722361736,128.78133150935173,tensor(0.8642)
tensor(0.8925),566.9687428586185,133.03933957219124,tensor(0.8597)
tensor(0.8910),573.0807537920773,129.08895183354616,tensor(0.8685)
tensor(0.8989),517.2872398607433,122.47945591062307,tensor(0.8766)
tensor(0.9032),490.61278241686523,125.68151601403952,tensor(0.8788)
tensor(0.9050),480.54934737086296,129.76217680424452,tensor(0.8787)
tensor(0.9059),471.8448407687247,137.57219233736396,tensor(0.8799)
tensor(0.9065),471.2814166136086,139.1532880626619,tensor(0.8776)
tensor(0.9068),467.897798134014,134.4056082814932,tensor(0.8787)
tensor(0.9082),464.98446355201304,130.83935905247927,tensor(0.8796)
tensor(0.9091),456.60417515411973,144.57862239703536,tensor(0.8777)
tensor(0.9082),464.9905428532511,144.5310244038701,tensor(0.8775)
tensor(0.9079),458.20956928189844,146.28682508692145,tensor(0.8785)
tensor(0.9152),423.1752540655434,149.7757115662098,tensor(0.8821)
tensor(0.9172),410.18630676623434,135.83058112114668,tensor(0.8806)
tensor(0.9172),405.86699942406267,159.92846485972404,tensor(0.8761)
tensor(0.9171),405.4079186748713,162.23294921964407,tensor(0.8822)
tensor(0.9176),408.1059828232974,153.21631079539657,tensor(0.8842)
tensor(0.9195),396.4605912761763,152.24524737894535,tensor(0.8804)
tensor(0.9202),394.67370953410864,161.4732757806778,tensor(0.8849)
tensor(0.9201),396.6424484997988,165.85130943357944,tensor(0.8839)
tensor(0.9215),387.1440026909113,152.88920589536428,tensor(0.8834)
tensor(0.9196),396.8941029366106,160.3412133641541,tensor(0.8820)
tensor(0.9223),388.1555352564901,148.445854999125,tensor(0.8845)
tensor(0.9217),382.5695852646604,165.0828768759966,tensor(0.8835)
tensor(0.9231),376.5048463647254,183.33990401681513,tensor(0.8824)
tensor(0.9229),380.64107621926814,165.9082563109696,tensor(0.8849)
tensor(0.9232),373.6150672156364,160.4241098612547,tensor(0.8889)
