true_label,p_true_label,variance,predicted_label
4.0,0.8655999302864075,0.16649460792541504,4.0
9.0,0.648815929889679,0.3704402446746826,9.0
2.0,0.6826872825622559,0.2563018798828125,2.0
0.0,0.8416411876678467,0.04027596116065979,0.0
4.0,0.001058985129930079,0.007799709681421518,2.0
8.0,1.0,9.999999747378752e-06,8.0
5.0,1.0,9.999999747378752e-06,5.0
8.0,1.0,9.999999747378752e-06,8.0
6.0,0.9968573451042175,0.012378213927149773,6.0
4.0,0.8422653079032898,0.30321386456489563,4.0
0.0,0.7674720883369446,0.11620372533798218,0.0
3.0,1.0,0.1346098929643631,3.0
2.0,0.993556797504425,0.02164965122938156,2.0
8.0,0.9999898672103882,0.20351044833660126,8.0
3.0,1.0,0.0022516860626637936,3.0
5.0,1.0,9.999999747378752e-06,5.0
5.0,1.0,9.999999747378752e-06,5.0
6.0,0.9936274290084839,0.1660798043012619,6.0
5.0,1.0,9.999999747378752e-06,5.0
9.0,1.0,9.999999747378752e-06,9.0
3.0,1.0,0.013011054135859013,3.0
5.0,1.0,9.999999747378752e-06,5.0
1.0,1.0,9.999999747378752e-06,1.0
6.0,0.7395344376564026,0.2597518563270569,6.0
4.0,0.9916732311248779,0.09705811738967896,4.0
1.0,1.0,9.999999747378752e-06,1.0
9.0,1.0,0.015423329547047615,9.0
3.0,0.9999432563781738,0.10054204612970352,3.0
2.0,0.9314174652099609,0.15321554243564606,2.0
9.0,1.0,9.999999747378752e-06,9.0
1.0,1.0,9.999999747378752e-06,1.0
2.0,0.843140721321106,0.1704483926296234,2.0
3.0,0.9976248741149902,0.3382769823074341,3.0
2.0,0.9888582229614258,0.11157812923192978,2.0
4.0,0.9796683192253113,0.1578836739063263,4.0
7.0,0.9917335510253906,0.2158069610595703,7.0
5.0,1.0,9.999999747378752e-06,5.0
4.0,1.0,0.034139350056648254,4.0
7.0,1.0,0.03379577770829201,7.0
8.0,1.0,9.999999747378752e-06,8.0
2.0,0.7311567068099976,0.12023407965898514,2.0
0.0,1.0,0.014566633850336075,0.0
2.0,0.6971490979194641,0.1256544291973114,2.0
3.0,1.0,2.6114492357010022e-05,3.0
4.0,0.9955253601074219,0.17768466472625732,4.0
6.0,0.9999382495880127,0.13802316784858704,6.0
2.0,0.9999465942382812,0.005573054775595665,2.0
6.0,0.0016615856438875198,0.02949453517794609,4.0
6.0,0.9918776154518127,0.035351477563381195,6.0
7.0,1.0,9.999999747378752e-06,7.0
7.0,1.0,9.999999747378752e-06,7.0
2.0,1.0,1.050722312356811e-05,2.0
7.0,0.9999937415122986,0.062253426760435104,7.0
3.0,0.999934196472168,0.00017734809080138803,3.0
4.0,0.43380558490753174,0.26421505212783813,3.0
1.0,1.0,9.999999747378752e-06,1.0
2.0,0.9600635766983032,0.18267852067947388,2.0
1.0,1.0,9.999999747378752e-06,1.0
1.0,1.0,9.999999747378752e-06,1.0
2.0,0.9999637603759766,0.0016367670614272356,2.0
1.0,1.0,9.999999747378752e-06,1.0
9.0,0.9999997615814209,0.12486951798200607,9.0
0.0,1.0,0.183047816157341,0.0
2.0,0.948683500289917,0.23718997836112976,2.0
8.0,1.0,9.999999747378752e-06,8.0
9.0,1.0,0.19163338840007782,9.0
4.0,0.7421887516975403,0.1833513081073761,4.0
2.0,0.8164069652557373,0.2738046944141388,2.0
9.0,1.0,0.0015436859102919698,9.0
8.0,1.0,0.0006542890914715827,8.0
3.0,0.9999961256980896,0.05234949290752411,3.0
8.0,0.9999990463256836,0.2277190238237381,8.0
1.0,1.0,9.999999747378752e-06,1.0
1.0,1.0,9.999999747378752e-06,1.0
5.0,1.0,9.999999747378752e-06,5.0
2.0,0.8848658204078674,0.2526957094669342,2.0
1.0,1.0,9.999999747378752e-06,1.0
8.0,1.0,9.999999747378752e-06,8.0
2.0,0.999789297580719,0.29074645042419434,2.0
4.0,0.6746835708618164,0.1178557500243187,4.0
2.0,0.8606032133102417,0.20522204041481018,2.0
3.0,0.9740445017814636,0.21364030241966248,3.0
4.0,0.9932695031166077,0.0546494759619236,4.0
8.0,1.0,9.999999747378752e-06,8.0
