baseline_train_accuracy,baseline_train_losss,baseline_test_loss,baseline_test_accuracy
tensor(0.7923),1050.074745208025,146.86074474453926,tensor(0.8350)
tensor(0.8400),835.7478547915816,142.4754295796156,tensor(0.8352)
tensor(0.8436),823.3187448829412,165.06919699907303,tensor(0.8165)
tensor(0.8458),822.8166737705469,146.00700633227825,tensor(0.8378)
tensor(0.8491),810.6156012192369,146.43901508301497,tensor(0.8355)
tensor(0.8472),808.6945226825774,149.62956246733665,tensor(0.8397)
tensor(0.8500),799.3058388531208,160.483705855906,tensor(0.8392)
tensor(0.8495),804.9977458268404,142.54880140721798,tensor(0.8436)
tensor(0.8508),802.7825582772493,142.41075785458088,tensor(0.8483)
tensor(0.8498),792.760201357305,144.43187062442303,tensor(0.8443)
tensor(0.8679),683.3538829497993,129.40613574534655,tensor(0.8618)
tensor(0.8715),668.3211527243257,132.70100850611925,tensor(0.8570)
tensor(0.8751),641.2559884823859,130.85053434222937,tensor(0.8627)
tensor(0.8773),637.6744881346822,131.86873345077038,tensor(0.8611)
tensor(0.8770),634.1583579368889,133.56604330986738,tensor(0.8611)
tensor(0.8783),620.0920533500612,125.32192452996969,tensor(0.8643)
tensor(0.8802),613.0239742361009,132.60254316031933,tensor(0.8635)
tensor(0.8802),609.0686535984278,121.22851172834635,tensor(0.8733)
tensor(0.8840),596.9832321219146,125.93023841828108,tensor(0.8738)
tensor(0.8805),614.6025647073984,121.2193611189723,tensor(0.8691)
tensor(0.8913),546.8633705787361,125.66455935686827,tensor(0.8733)
tensor(0.8940),528.8427003696561,129.5177709981799,tensor(0.8760)
tensor(0.8962),518.1638201996684,124.90974966809154,tensor(0.8762)
tensor(0.8966),510.99437396787107,126.15732357650995,tensor(0.8736)
tensor(0.8971),508.23338137567043,133.29566502943635,tensor(0.8714)
tensor(0.8988),506.3660393413156,132.39039308577776,tensor(0.8750)
tensor(0.8976),506.49360605329275,143.9861213415861,tensor(0.8758)
tensor(0.8988),500.7284754514694,131.25241432338953,tensor(0.8767)
tensor(0.8986),500.08114274032414,132.12155714258552,tensor(0.8737)
tensor(0.9019),486.49525241181254,141.93660007417202,tensor(0.8715)
tensor(0.9056),459.88265516608953,139.36754639446735,tensor(0.8748)
tensor(0.9082),450.443516748026,147.67027778644115,tensor(0.8755)
tensor(0.9086),444.7370089031756,143.4544688910246,tensor(0.8744)
tensor(0.9079),448.89187061600387,144.67298161238432,tensor(0.8776)
tensor(0.9079),446.51964187808335,144.50608775019646,tensor(0.8765)
tensor(0.9086),438.7986986907199,146.73923022300005,tensor(0.8766)
tensor(0.9086),438.67081880383193,148.87525845319033,tensor(0.8792)
tensor(0.9107),430.99374046362936,157.16628980636597,tensor(0.8773)
tensor(0.9110),430.94210194051266,149.44892528653145,tensor(0.8770)
tensor(0.9123),428.58051370084286,159.04794816300273,tensor(0.8782)
tensor(0.9116),426.4316930146888,167.82042118161917,tensor(0.8774)
tensor(0.9124),422.0845104698092,161.8296130746603,tensor(0.8768)
tensor(0.9120),428.5745330154896,162.72656668536365,tensor(0.8793)
tensor(0.9134),421.35846495069563,164.83714076131582,tensor(0.8792)
tensor(0.9116),427.83521370589733,156.31366705149412,tensor(0.8812)
