MCdropout_train_accuracy,MCdropout_train_losss,MCdropout_test_loss,MCdropout_test_accuracy
tensor(0.8860),586.3881056532264,136.21800635382533,tensor(0.8671)
tensor(0.8930),567.1020181179047,133.87892248481512,tensor(0.8720)
tensor(0.8917),590.5177532266825,159.42652781307697,tensor(0.8619)
tensor(0.8898),603.8638962805271,147.25921715795994,tensor(0.8656)
tensor(0.8940),594.761285636574,156.2354311235249,tensor(0.8648)
tensor(0.8962),602.0737174116075,163.61003027111292,tensor(0.8621)
tensor(0.8891),640.3117376230657,171.71845341473818,tensor(0.8581)
tensor(0.8976),580.9898345805705,168.95247498899698,tensor(0.8644)
tensor(0.8973),590.745382193476,171.3810185045004,tensor(0.8614)
tensor(0.8982),592.0812888387591,166.02970790863037,tensor(0.8674)
tensor(0.9094),511.99421003460884,163.57193849422038,tensor(0.8716)
tensor(0.9111),499.4867952130735,164.52760001271963,tensor(0.8650)
tensor(0.9136),491.0144976209849,171.70244812965393,tensor(0.8721)
tensor(0.9146),490.09601033478975,172.76620671898127,tensor(0.8702)
tensor(0.9148),483.35596896894276,175.27528896927834,tensor(0.8698)
tensor(0.9173),476.7251459490508,188.32969788461924,tensor(0.8677)
tensor(0.9186),468.05539536848664,195.30417416244745,tensor(0.8682)
tensor(0.9183),470.969068037346,193.48110941424966,tensor(0.8663)
tensor(0.9192),477.53813656792045,203.08089642226696,tensor(0.8691)
tensor(0.9222),458.39464354142547,212.40539138764143,tensor(0.8672)
tensor(0.9268),434.65846953354776,210.220012139529,tensor(0.8749)
tensor(0.9290),422.8462196737528,217.8472982533276,tensor(0.8711)
tensor(0.9295),419.2877062810585,228.8898235410452,tensor(0.8685)
tensor(0.9304),414.6213849186897,233.54917301610112,tensor(0.8735)
tensor(0.9325),406.9574681315571,237.8761278912425,tensor(0.8713)
tensor(0.9337),404.7124025085941,242.0128613933921,tensor(0.8745)
tensor(0.9341),408.48330811597407,245.87665370851755,tensor(0.8717)
tensor(0.9350),398.38481997326016,261.35002209991217,tensor(0.8687)
tensor(0.9352),400.043087169528,274.44269075989723,tensor(0.8681)
tensor(0.9355),403.3260614350438,260.26234498620033,tensor(0.8710)
tensor(0.9364),394.8589335596189,268.49115884304047,tensor(0.8702)
tensor(0.9363),390.55258562229574,300.1138695292175,tensor(0.8671)
tensor(0.9375),394.04202934447676,289.92230860702693,tensor(0.8678)
tensor(0.9372),397.87011642660946,309.35880972258747,tensor(0.8699)
tensor(0.9393),390.86178984539583,252.74587296321988,tensor(0.8894)
